Mission,Date, Duration (hours) ,Duration (minutes),Spacewalker
Expedition 50,"Friday, 6 January 17", 6 ,32,Peggy Whitson
Expedition 50,"Friday, 13 January 17", 5 ,58,Shane Kimbrough
Expedition 50,"Friday, 13 January 17", 5 ,58,Thomas Pesquet
Expedition 50,"Friday, 24 March 17", 6 ,34,Shane Kimbrough
Expedition 50,"Friday, 24 March 17", 6 ,34,Thomas Pesquet
Expedition 50,"Thursday, 30 March 17", 7 ,4,Shane Kimbrough
Expedition 50,"Thursday, 30 March 17", 7 ,4,Peggy Whitson
Expedition 51,"Friday, 12 May 17", 4 ,13,Peggy Whitson
Expedition 51,"Friday, 12 May 17", 4 ,13,Jack Fischer
Expedition 51,"Tuesday, 23 May 17", 2 ,46,Peggy Whitson
Expedition 51,"Tuesday, 23 May 17", 2 ,46,Jack Fischer
Expedition 52,"Thursday, 17 August 17", 7 ,34,Fyodor Yurchikhin
Expedition 52,"Thursday, 17 August 17", 7 ,34,Sergey Ryazanskiy
Expedition 53,"Thursday, 5 October 17", 6 ,55,Randy Bresnik
Expedition 53,"Thursday, 5 October 17", 6 ,55,Mark Vande Hei
Expedition 53,"Tuesday, 10 October 17", 6 ,26,Randy Bresnik
Expedition 53,"Tuesday, 10 October 17", 6 ,26,Mark Vande Hei
Expedition 53,"Friday, 20 October 17", 6 ,49,Randy Bresnik
Expedition 53,"Friday, 20 October 17", 6 ,49,Joe Acaba
Expedition 54,"Tuesday, 23 January 18", 7 ,24,Mark Vande Hei
Expedition 54,"Tuesday, 23 January 18", 7 ,24,Scott Tingle
Expedition 54,"Friday, 2 February 18", 8 ,13,Alexander Misurkin
Expedition 54,"Friday, 2 February 18", 8 ,13,Anton Shkaplerov
Expedition 54,"Friday, 16 February 18", 5 ,57,Mark Vande Hei
Expedition 54,"Friday, 16 February 18", 5 ,57,Norishige Kanai
Expedition 55,"Thursday, 29 March 18", 6 ,10,Drew Feustel
Expedition 55,"Thursday, 29 March 18", 6 ,10,Ricky Arnold
Expedition 55,"Wednesday, 16 May 18", 6 ,31,Drew Feustel
Expedition 55,"Wednesday, 16 May 18", 6 ,31,Ricky Arnold
Expedition 56,"Thursday, 14 June 18", 6 ,49,Drew Feustel
Expedition 56,"Thursday, 14 June 18", 6 ,49,Ricky Arnold
Expedition 56,"Wednesday, 15 August 18", 7 ,46,Oleg Artemyev
Expedition 56,"Wednesday, 15 August 18", 7 ,46,Sergey Prokopyev
Expedition 57,"Tuesday, 11 December 18", 7 ,45,Oleg Kononenko
Expedition 57,"Tuesday, 11 December 18", 7 ,45,Sergey Prokopyev
Expedition 59,"Friday, 22 March 19", 6 ,39,Anne McClain
Expedition 59,"Friday, 22 March 19", 6 ,39,Nick Hague
Expedition 59,"Friday, 29 March 19", 6 ,45,Nick Hague
Expedition 59,"Friday, 29 March 19", 6 ,45,Christina Koch
Expedition 59,"Monday, 8 April 19", 6 ,29,Anne McClain
Expedition 59,"Monday, 8 April 19", 6 ,29,David Saint-Jacques
