Mission,Date, Duration (hours) ,Duration (minutes),Spacewalker
STS-113,"Saturday, 30 November 02", 7 ,0,Michael Lopez-Alegria
STS-113,"Saturday, 30 November 02", 7 ,0,John Herrington
Expedition 6,"Wednesday, 15 January 03", 6 ,51,Ken Bowersox
Expedition 6,"Wednesday, 15 January 03", 6 ,51,Don Pettit
Expedition 6,"Tuesday, 8 April 03", 6 ,26,Ken Bowersox
Expedition 6,"Tuesday, 8 April 03", 6 ,26,Don Pettit
Expedition 8,"Thursday, 26 February 04", 3 ,55,Michael Foale
Expedition 8,"Thursday, 26 February 04", 3 ,55,Alexander Kaleri
Expedition 9,"Thursday, 24 June 04", -   ,14,Gennady Padalka
Expedition 9,"Thursday, 24 June 04", -   ,14,Mike Fincke
Expedition 9,"Wednesday, 30 June 04", 5 ,40,Gennady Padalka
Expedition 9,"Wednesday, 30 June 04", 5 ,40,Mike Fincke
Expedition 9,"Tuesday, 3 August 04", 4 ,30,Gennady Padalka
Expedition 9,"Tuesday, 3 August 04", 4 ,30,Mike Fincke
Expedition 9,"Friday, 3 September 04", 5 ,21,Gennady Padalka
Expedition 9,"Friday, 3 September 04", 5 ,21,Mike Fincke
Expedition 10,"Wednesday, 26 January 05", 5 ,28,Leroy Chiao
Expedition 10,"Wednesday, 26 January 05", 5 ,28,Salizhan Sharipov
Expedition 10,"Monday, 28 March 05", 4 ,30,Leroy Chiao
Expedition 10,"Monday, 28 March 05", 4 ,30,Salizhan Sharipov
STS-114,"Saturday, 30 July 05", 6 ,50,Soichi Noguchi
STS-114,"Saturday, 30 July 05", 6 ,50,Stephen Robinson
STS-114,"Monday, 1 August 05", 7 ,14,Soichi Noguchi
STS-114,"Monday, 1 August 05", 7 ,14,Stephen Robinson
STS-114,"Wednesday, 3 August 05", 6 ,1,Soichi Noguchi
STS-114,"Wednesday, 3 August 05", 6 ,1,Stephen Robinson
Expedition 11,"Thursday, 18 August 05", 4 ,58,Sergei Krikalev
Expedition 11,"Thursday, 18 August 05", 4 ,58,John Phillips
Expedition 12,"Monday, 7 November 05", 5 ,22,Bill McArthur
Expedition 12,"Monday, 7 November 05", 5 ,22,Valery Tokarev
Expedition 12,"Friday, 3 February 06", 5 ,43,Bill McArthur
Expedition 12,"Friday, 3 February 06", 5 ,43,Valery Tokarev
STS-121,"Saturday, 8 July 06", 7 ,31,Piers Sellers
STS-121,"Saturday, 8 July 06", 7 ,31,Mike Fossum
STS-121,"Monday, 10 July 06", 6 ,47,Piers Sellers
STS-121,"Monday, 10 July 06", 6 ,47,Mike Fossum
STS-121,"Wednesday, 12 July 06", 7 ,11,Piers Sellers
STS-121,"Wednesday, 12 July 06", 7 ,11,Mike Fossum
Expedition 13,"Thursday, 1 June 06", 6 ,31,Pavel Vinogradov
Expedition 13,"Thursday, 1 June 06", 6 ,31,Jeff Williams
Expedition 13,"Thursday, 3 August 06", 5 ,54,Jeff Williams
Expedition 13,"Thursday, 3 August 06", 5 ,54,Thomas Reiter
STS-115,"Tuesday, 12 September 06", 6 ,26,Joe Tanner
STS-115,"Tuesday, 12 September 06", 6 ,26,Heidemarie Stefanyshyn-Piper
STS-115,"Wednesday, 13 September 06", 7 ,11,Dan Burbank
STS-115,"Wednesday, 13 September 06", 7 ,11,Steve MacLean
STS-115,"Friday, 15 September 06", 6 ,42,Joe Tanner
STS-115,"Friday, 15 September 06", 6 ,42,Heidemarie Stefanyshyn-Piper
STS-116,"Tuesday, 12 December 06", 6 ,36,Bob Curbeam
STS-116,"Tuesday, 12 December 06", 6 ,36,Christer Fuglesang
STS-116,"Thursday, 14 December 06", 5 ,0,Bob Curbeam
STS-116,"Thursday, 14 December 06", 5 ,0,Christer Fuglesang
STS-116,"Saturday, 16 December 06", 7 ,31,Bob Curbeam
STS-116,"Saturday, 16 December 06", 7 ,31,Sunita Williams
STS-116,"Monday, 18 December 06", 6 ,38,Bob Curbeam
STS-116,"Monday, 18 December 06", 6 ,38,Christer Fuglesang
Expedition 14,"Wednesday, 22 November 06", 5 ,38,Mikhail Tyurin
Expedition 14,"Wednesday, 22 November 06", 5 ,38,Michael Lopez-Alegria
Expedition 14,"Wednesday, 31 January 07", 7 ,55,Michael Lopez-Alegria
Expedition 14,"Wednesday, 31 January 07", 7 ,55,Sunita Williams
Expedition 14,"Sunday, 4 February 07", 7 ,11,Michael Lopez-Alegria
Expedition 14,"Sunday, 4 February 07", 7 ,11,Sunita Williams
Expedition 14,"Thursday, 8 February 07", 6 ,40,Michael Lopez-Alegria
Expedition 14,"Thursday, 8 February 07", 6 ,40,Sunita Williams
Expedition 14,"Thursday, 22 February 07", 6 ,18,Mikhail Tyurin
Expedition 14,"Thursday, 22 February 07", 6 ,18,Michael Lopez-Alegria
STS-117,"Monday, 11 June 07", 6 ,15,James Reilly
STS-117,"Monday, 11 June 07", 6 ,15,John Olivas
STS-117,"Wednesday, 13 June 07", 7 ,16,Patrick Forrester
STS-117,"Wednesday, 13 June 07", 7 ,16,Steve Swanson
STS-117,"Friday, 15 June 07", 7 ,58,James Reilly
STS-117,"Friday, 15 June 07", 7 ,58,John Olivas
STS-117,"Sunday, 17 June 07", 6 ,29,Patrick Forrester
STS-117,"Sunday, 17 June 07", 6 ,29,Steve Swanson
Expedition 15,"Wednesday, 30 May 07", 5 ,25,Fyodor Yurchikhin
